64 Studio,?,GNOME
Alinex,ext3,GNOME
aLinux,none,KDE Plasma Workspaces
ALT Linux,ext3,"KDE Plasma Workspaces, Xfce"
Annvix,none,?
aptosid,ext3,KDE Plasma Workspaces
Arch Linux,none[9],none
Asianux,ext3,K Desktop Environment 3
BackTrack,ext3,GNOME/KDE (Decided on download)
BLAG Linux and GNU,ext3,GNOME
Bodhi Linux,ext4,Enlightenment
Caixa MÃ¡gica,?,?
CentOS,ext4,GNOME
Chakra,ext4,KDE Plasma Workspaces
ClearOS,ext3,GNOME
ConnochaetOS (formerly DeLi Linux),ext3/ext2,IceWM
CrunchBang Linux,ext3,Openbox or Xfce
CRUX,none,Openbox
Damn Small Linux,ext3,JWM
Debian,ext4,"GNOME, KDE, Xfce, LXDE[10]"
Dreamlinux,ext3[11],Xfce
dyne:bolic,"SquashFS, ext3",Xfce
EasyPeasy,ext3,"GNOME, Ubuntu Netbook Edition"
Elive,"SquashFS, ReiserFS",Enlightenment
EnGarde Secure Linux,ext3,none
Fedora,ext4,GNOME
Finnix,SquashFS,none
Foresight Linux,ext3,GNOME
Frugalware,none,KDE Plasma Workspaces
Gentoo,none,"Awesome, Enlightenment, Fluxbox, GNOME, KDE, LXDE-Meta, Openbox, XBMC and Xfce (live DVD)[12]"
gnuLinEx,ext2,GNOME
GoboLinux,ReiserFS,KDE Plasma Workspaces
gNewSense,ext3,GNOME
Impi Linux,?,KDE Plasma Workspaces
Instant WebKiosk,SquashFS,Has no DE. It's a browser-only interface
Kali Linux,ext3,GNOME
Kanotix,ext3,KDE Plasma Workspaces
KateOS,?,Xfce
Knoppix,XFS,LXDE
Kurumin,ext3,KDE Plasma Workspaces
Linspire,ReiserFS,K Desktop Environment 3
Linux Mint[13],ext4,"MATE, Cinnamon"
Lunar Linux,none,none
Mageia,ext4,"KDE Plasma Workspaces, GNOME"
Mandriva Linux,ext4,KDE Plasma Workspaces
MEPIS,"ext3, ext4",KDE Plasma Workspaces
MintPPC,"ext3, ext4",LXDE
Musix GNU/Linux,?,IceWM
Network Security Toolkit,ext4,"GNOME, Fluxbox"
NimbleX,SquashFS,KDE Plasma Workspaces
Nitix,ReiserFS,none
openSUSE,ext4,"KDE Plasma Workspaces, GNOME, Xfce"
OpenWrt,mini_fo+SquashFS/JFFS2[14],none
Pardus,ext4,KDE Plasma Workspaces
Parsix,ext4,GNOME
PCLinuxOS,none,"KDE Plasma Workspaces, GNOME, LXDE, Xfce, Enlightenment, Openbox"
Pentoo,SquashFS,Enlightenment
Porteus,"Squashfs, ext2, ext3, ext4, FAT32, reiser, xfs","KDE, LXDE, Xfce, Openbox, Razor-qt"
Puppy Linux,SquashFS containing ext2,JWM
Red Flag Linux,ext3,K Desktop Environment 3
Red Hat Enterprise Linux,ext4 [15],GNOME
Rxart Desktop,ext3,KDE Plasma Workspaces
Sabayon Linux,ext4[16],"KDE Plasma Workspaces, GNOME"
Scientific Linux,ext3,GNOME
SHR,"ext3, JFFS2, UBIFS",Enlightenment's Illume 2
Slackware,ext4,"KDE Plasma Workspaces, Xfce, Fluxbox, Blackbox, twm"
Slax,SquashFS,KDE Plasma Workspaces
SliTaz GNU/Linux,ext3,Openbox
Source Mage GNU/Linux,ext2,none
Super OS,ext4,Unity with fallback to GNOME 2.x
SUSE Linux Enterprise Desktop,ext3,GNOME
Symphony OS,ReiserFS,Mezzo
SYS,ext3,"KDE SC, GNOME, Xfce (selectable in kdm)"
Tor-ramdisk,ext2,none
Trisquel,"ext4, XFS","GNOME, LXDE"
Ubuntu/Edubuntu,ext4 [17],"Unity on GNOME, Unity 2D for fallback"
Kubuntu,ext4[17],KDE Plasma Workspaces
Xubuntu,ext4[17],Xfce
Ututo,ext3,GNOME
VectorLinux,ReiserFS,"KDE, Openbox, Fluxbox, IceWM, Xfce"
Webconverger,gitfs,dwm enforcing a Browser-only interface
Wolvix,ext3,"Xfce, Openbox"
Xandros Desktop,ReiserFS,K Desktop Environment 3
XBMC Live,ext3,XBMC Media Center
Yellow Dog Linux,?,Enlightenment
Yoper,ext3,KDE SC
Zentyal,ext4,LXDE
Zenwalk,ext4,Xfce
